id,src,datetime,name,latitude,longitude,location,RadiantOutput,Temperature,RadiativeHeat,footprint,SatZenithAngle,SourceID,region,srcfile,quality
2650060,VIIRS,2013-08-05 22:14:18+00:00,,53.453003,59.0284,0101000020E61000006B9A779CA2834D40B5FE9600FCB94A40,24.49,959,14.18,295.74,__None__,SVM10_npp_d20130805_t2208287_e2214091_IR_source_236,__None__,viirs-ir-sources-20130805.kmz,1
2650061,VIIRS,2013-08-05 22:14:18+00:00,,53.421715,59.051498,0101000020E61000009BE7887C97864D40C79DD2C1FAB54A40,6.48,1015,3.75,62.17,__None__,SVM10_npp_d20130805_t2208287_e2214091_IR_source_239,__None__,viirs-ir-sources-20130805.kmz,1
2650062,VIIRS,2013-08-05 22:14:18+00:00,,53.416481,59.085796,0101000020E61000005610035DFB8A4D40E333D93F4FB54A40,6.24,742,3.61,210.09,__None__,SVM10_npp_d20130805_t2208287_e2214091_IR_source_240,__None__,viirs-ir-sources-20130805.kmz,1
2650063,VIIRS,2013-08-05 22:14:22+00:00,,54.128048,52.347347,0101000020E61000008EAED2DD752C4A40BB287AE063104B40,0.42,1810,0.41,0.67,__None__,SVM10_npp_d20130805_t2208287_e2214091_IR_source_241,__None__,viirs-ir-sources-20130805.kmz,0
2650064,VIIRS,2013-08-05 22:14:22+00:00,,53.930134,54.002224,0101000020E610000016A243E048004B40E77283A10EF74A40,0.82,1863,0.66,0.96,__None__,SVM10_npp_d20130805_t2208287_e2214091_IR_source_243,__None__,viirs-ir-sources-20130805.kmz,1
2650065,VIIRS,2013-08-05 22:14:22+00:00,,54.553986,39.725876,0101000020E6100000C4793881E9DC43408F386403E9464B40,2.05,1378,3.53,17.26,__None__,SVM10_npp_d20130805_t2208287_e2214091_IR_source_244,__None__,viirs-ir-sources-20130805.kmz,1
2650066,VIIRS,2013-08-05 22:14:22+00:00,,53.672333,55.970837,0101000020E6100000965F066344FC4B40C382FB010FD64A40,0.28,1810,0.19,0.31,__None__,SVM10_npp_d20130805_t2208287_e2214091_IR_source_245,__None__,viirs-ir-sources-20130805.kmz,0
2650067,VIIRS,2013-08-05 22:14:24+00:00,,54.157284,50.69577,0101000020E6100000DBC4C9FD0E5949408F17D2E121144B40,0.54,1440,0.43,1.75,__None__,SVM10_npp_d20130805_t2208287_e2214091_IR_source_248,__None__,viirs-ir-sources-20130805.kmz,1
2650068,VIIRS,2013-08-05 22:14:24+00:00,,50.034946,73.013855,0101000020E6100000B6F81400E340524021904B1C79044940,1.55,1399,1.39,6.38,__None__,SVM10_npp_d20130805_t2208287_e2214091_IR_source_252,__None__,viirs-ir-sources-20130805.kmz,1
2650069,VIIRS,2013-08-05 22:14:24+00:00,,53.937778,52.030163,0101000020E61000004E469561DC034A404374081C09F84A40,0.65,1238,0.65,4.9,__None__,SVM10_npp_d20130805_t2208287_e2214091_IR_source_253,__None__,viirs-ir-sources-20130805.kmz,1
2650070,VIIRS,2013-08-05 22:14:26+00:00,,53.941181,51.415394,0101000020E6100000317A6EA12BB54940EC4E779E78F84A40,0.51,1810,0.37,0.6,__None__,SVM10_npp_d20130805_t2208287_e2214091_IR_source_254,__None__,viirs-ir-sources-20130805.kmz,0
2650071,VIIRS,2013-08-05 22:14:27+00:00,,53.422417,55.889809,0101000020E6100000DE57E542E5F14B402123A0C211B64A40,4.44,1907,2.96,3.95,__None__,SVM10_npp_d20130805_t2208287_e2214091_IR_source_256,__None__,viirs-ir-sources-20130805.kmz,1
2650072,VIIRS,2013-08-05 22:14:29+00:00,,53.64954,52.20874,0101000020E6100000FBAE08FEB71A4A40D0B8702024D34A40,0.48,1810,0.47,0.77,__None__,SVM10_npp_d20130805_t2208287_e2214091_IR_source_258,__None__,viirs-ir-sources-20130805.kmz,0
2650073,VIIRS,2013-08-05 22:14:31+00:00,,53.714878,50.801811,0101000020E61000005A492BBEA1664940A0504F1F81DB4A40,0.76,1828,0.58,0.92,__None__,SVM10_npp_d20130805_t2208287_e2214091_IR_source_259,__None__,viirs-ir-sources-20130805.kmz,1
2650074,VIIRS,2013-08-05 22:14:31+00:00,,53.677814,51.046959,0101000020E61000005EA0A4C002864940AE62F19BC2D64A40,0.46,1810,0.34,0.57,__None__,SVM10_npp_d20130805_t2208287_e2214091_IR_source_260,__None__,viirs-ir-sources-20130805.kmz,0
2650075,VIIRS,2013-08-05 22:14:31+00:00,,53.091854,56.164642,0101000020E610000026C632FD12154C40DE0033DFC18B4A40,0.28,1810,0.18,0.3,__None__,SVM10_npp_d20130805_t2208287_e2214091_IR_source_261,__None__,viirs-ir-sources-20130805.kmz,0
2650076,VIIRS,2013-08-05 22:14:31+00:00,,53.320251,53.975147,0101000020E610000071E5EC9DD1FC4A4072C119FCFDA84A40,0.33,1810,0.26,0.43,__None__,SVM10_npp_d20130805_t2208287_e2214091_IR_source_262,__None__,viirs-ir-sources-20130805.kmz,0
2650077,VIIRS,2013-08-05 22:14:34+00:00,,53.54071,49.62479,0101000020E6100000156F641EF9CF4840614F3BFC35C54A40,3.83,1305,3.41,20.74,__None__,SVM10_npp_d20130805_t2208287_e2214091_IR_source_264,__None__,viirs-ir-sources-20130805.kmz,1
2650078,VIIRS,2013-08-05 22:14:36+00:00,,53.343502,51.314297,0101000020E61000008F1D54E23AA84940280EA0DFF7AB4A40,3.42,1695,2.43,5.2,__None__,SVM10_npp_d20130805_t2208287_e2214091_IR_source_265,__None__,viirs-ir-sources-20130805.kmz,1
2650079,VIIRS,2013-08-05 22:14:36+00:00,,53.317261,51.332058,0101000020E6100000063065E080AA4940ECA529029CA84A40,0.4,1810,0.28,0.47,__None__,SVM10_npp_d20130805_t2208287_e2214091_IR_source_266,__None__,viirs-ir-sources-20130805.kmz,0
2650080,VIIRS,2013-08-05 22:14:36+00:00,,53.004982,54.378387,0101000020E6100000A31D37FC6E304B40CA880B40A3804A40,0.68,1876,0.51,0.72,__None__,SVM10_npp_d20130805_t2208287_e2214091_IR_source_267,__None__,viirs-ir-sources-20130805.kmz,1
2650081,VIIRS,2013-08-05 22:14:38+00:00,,52.935535,54.106678,0101000020E6100000F299EC9FA70D4B40B6A1629CBF774A40,0.41,1810,0.32,0.52,__None__,SVM10_npp_d20130805_t2208287_e2214091_IR_source_268,__None__,viirs-ir-sources-20130805.kmz,0
2650082,VIIRS,2013-08-05 22:14:38+00:00,,49.195591,72.498398,0101000020E61000001399B9C0E51F52402B323A2009994840,1.34,1192,1.22,10.66,__None__,SVM10_npp_d20130805_t2208287_e2214091_IR_source_269,__None__,viirs-ir-sources-20130805.kmz,1
2650083,VIIRS,2013-08-05 22:14:40+00:00,,53.132812,50.797543,0101000020E6100000AD1397E3156649401842CEFBFF904A40,0.29,1810,0.22,0.35,__None__,SVM10_npp_d20130805_t2208287_e2214091_IR_source_270,__None__,viirs-ir-sources-20130805.kmz,0
2650084,VIIRS,2013-08-05 22:14:42+00:00,,53.064148,50.85014,0101000020E6100000BF823463D16C49404A0D6D0036884A40,1.23,1801,0.91,1.53,__None__,SVM10_npp_d20130805_t2208287_e2214091_IR_source_274,__None__,viirs-ir-sources-20130805.kmz,1
2650085,VIIRS,2013-08-05 22:14:42+00:00,,52.80666,53.0173,0101000020E6100000431CEBE236824A40E57E87A240674A40,0.86,1897,0.73,1,__None__,SVM10_npp_d20130805_t2208287_e2214091_IR_source_277,__None__,viirs-ir-sources-20130805.kmz,1
